TEXTBODY,Category
"Hello- Can you add the following email address to your distribution list:payables@baysideonline.com? This will ensure your concerns are answered in a timely manner as it goes straight to our payables department. Also, kindly remove my email address (becky.bennett@baysideonline.com) as I no longer work in payables.",Contact Update
"Whitney, Where do checks need to be sent? Best,Laure",Promised
No problem! The checks were mailed out last week. My apologiesI was unaware that a batch of checks from 5/3 were delayed in getting to my desk for mailing but they are out now.J,Paid by Customer
"Why do I get these notices, when you can clearly see on your own site that this was paid on May 17?",Paid by Customer
There is no attachment to this email. Ball State has a policy where interest charges will not be paid. If you have any questions about that talk with Gayla Brasher.,Statement
DSN Your message to kravec.adam@cle.Xyz.com couldn't be delivered. kravec.adam wasn't found at cle.Xyz.com. Xyz.customer.credi. .,Contact Update
Payment has been made.,Paid by Customer
DSN Your message to antoci.darlene@la.Xyz.com couldn't be delivered. antoci.darlene wasn't found at la.Xyz.com. Xyz.customer.credi. .,Contact Update
"Priya, Just wanted to get back with you on the payment for our 3 Knoxville accounts the check was cut this past Friday 5/17/19 check # 9775 for $ 6,095.35 and covers for all of the April 2019 invoices. If you have any questions feel free to call me.",Paid by Customer
This message was created automatically by mail delivery software. A message that you sent could not be delivered to one or more of its recipients. This is a permanent error. The following address(es) failed:,Contact Update
"Sunanda, i am sorry for late response. The check number is 669 and confirmation number is EBMCF2AI Could you kindly provide me your phone number to talk to you. Any questions call me on cell at 912-322-9579. Thanks.",Paid by Customer
"So, I'm baffled. I'm on my Xyz Account Center and I see the Auto Pay SET UP and working. What's the problem? M Sean Gerrity henry t's bar & grill",Paid by Customer
This was already paid earlier today.,Paid by Customer
We give a check to our account manager every week. Perhaps she can explain better and reply to this email.,Promised
"Ron ZajacWhich Wich2212 Sawtelle Blvd. Los Angels, CA 90064(M) 310.425.4623",Other
 I have payment of $1831.71ready for pickup. inform me of how $30.00 stop payment will be reimbursed.,Promised
DSN Your message to santos.paul@boston.Xyz.com couldn't be delivered. santos.paul wasn't found at boston.Xyz.com. Xyz.customer.credi. .,Contact Update
 We pay the sales rep every week by check. He comes by once a week and collects a check for the last delivery. If the bill is overdue it is either because he has not deposited yet or has not come by to pick it up from the general manager. Other vendors have their driver pick it up at the time of delivery. We pay as we receive the goods.,Promised
Did you get our account cleared up?,Other
"for your email. This email account is no longer in service. If you'd like to reach our accounting department, email accounting@rroysters.com. and have a great day!",Contact Update
Your message to bgallagher@rileyhg.com couldn't be delivered. bgallagher wasn't found at rileyhg.com. Xyz.customer.credi. . . Office 365,Contact Update
"I apologize for this automatic reply to your email. To control spam, I now allow incoming messages only from senders I have approved beforehand.",Other
"Xyz, see the attached spreadsheet to see payment status against your statement. Thanks.",Paid by Customer
"Xyz.customer.credit@sbs.Xyz.com, We're writing to let you know that the group you tried to contact (acct) may not exist, or you may not have permission to post messages to the group. A few more details on why you weren't able to post: * You might have spelled or formatted the group name incorrectly. * The owner of the group may have removed this group. * You may need to join the group before receiving permission to post.",Contact Update
"Xyz.customer.credit@sbs.Xyz.com, We're writing to let you know that the group you tried to contact (acct) may not exist, or you may not have permission to post messages to the group. A few more details on why you weren't able to post: * You might have spelled or formatted the group name incorrectly. * The owner of the group may have removed this group. * You may need to join the group before receiving permission to post. * This group may not be open to posting.",Contact Update
"Xyz.customer.credit@sbs.Xyz.com, We're writing to let you know that the group you tried to contact (acct) may not exist, or you may not have permission to post messages to the group. A few more details on why you weren't able to post: * You might have spelled or formatted the group name incorrectly. * The owner of the group may have removed this group. * You may need to join the group before receiving permission to post. * This group may not be open to posting.",Contact Update
CONFIDENTIALITY NOTICE,Other
"Xyz.customer.credit@sbs.Xyz.com, We're writing to let you know that the group you tried to contact (acct) may not exist, or you may not have permission to post messages to the group. A few more details on why you weren't able to post: * You might have spelled or formatted the group name incorrectly. * The owner of the group may have removed this group. * You may need to join the group before receiving permission to post. * This group may not be open to posting.",Contact Update
"Xyz.customer.credit@sbs.Xyz.com, We're writing to let you know that the group you tried to contact (acct) may not exist, or you may not have permission to post messages to the group. A few more details on why you weren't able to post: * You might have spelled or formatted the group name incorrectly. * The owner of the group may have removed this group. * You may need to join the group before receiving permission to post. * This group may not be open to posting.",Contact Update
"Xyz.customer.credit@sbs.Xyz.com, We're writing to let you know that the group you tried to contact (acct) may not exist, or you may not have permission to post messages to the group. A few more details on why you weren't able to post: * You might have spelled or formatted the group name incorrectly. * The owner of the group may have removed this group. * You may need to join the group before receiving permission to post. * This group may not be open to posting.",Contact Update
"To all vendors, This email is to confirm the receipt of your company's statement. We will contact you directly when encounter any issue or problem. For skipped invoices, send invoice copy with our receiver's signature by email or fax to 714-670-7799. you very much for your help. Tawa/Welcome/Walong Accounting Department",Other
" you for bringing this to our attention. I have attached your spreadsheet with our payment updates. We have 2 checks on the way to you 20751 5/8 7916.02 and 20868 5/17 8170.09. I have also attached the remittances for these checks for your records. you,",Paid by Customer
DSN Your message to craig.bryan@cfl.Xyz.com couldn't be delivered. craig.bryan wasn't found at cfl.Xyz.com. Xyz.customer.credi. . .,Contact Update
"Sheri, I apologize for my late response to this email as it just came through to my inbox. However, we did make a payment today in the amount of $2,752.34, which paid our invoices due on 5/3/19. We plan to make another payment by early next week. If this is or is not sufficient to release our account from hold, let me know.",Paid by Customer
" I have a question. When are these payments due? Because there is a scheduled payment for the 27thfor $4,386.89. The Payment that was due today has been paid $2,823.55. It seems like every week we are behind on payments. Can you clarify?",Paid by Customer
